grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
grass,grass,grass,grass,grass,grass,stone_wall_nw,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_n,stone_wall_ne,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
grass,grass,grass,grass,grass,grass,stone_wall_w,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone_wall_e,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
grass,grass,grass,grass,grass,grass,stone_wall_w,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone_wall_e,stone,stone,stone,water,water,water,water,stone,stone_wall_e,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
grass,grass,grass,grass,grass,grass,stone_wall_w,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone_wall_e,stone,stone,stone,water,water,water,water,stone,stone_wall_e,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
grass,grass,grass,grass,grass,grass,stone_wall_w,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone_wall_e,stone,stone,stone,water,water,water,water,stone,stone_wall_e,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
grass,grass,grass,grass,grass,grass,stone_wall_w,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone_wall_e,stone,stone,stone,water,water,water,water,stone,stone_wall_e,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
grass,grass,grass,grass,grass,grass,stone_wall_w,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone_wall_e,stone,stone,stone,water,water,water,water,stone,stone_wall_e,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
grass,grass,grass,grass,grass,grass,stone_wall_w,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone,stone_wall_e,stone,stone,stone,stone,stone,stone,stone,stone,stone_wall_e,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass,grass
